"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"MachiRoom/DrawDraft",,"画笔画出草稿","畫筆畫出草稿","Draw the draft with a brush","筆で下書きを描く","붓으로 밑그림 그리기","วาดภาพร่างด้วยพู่กัน","Vẽ bản phác thảo bằng cọ"
"MachiRoom/AbandonArtwork",,"放弃出图","放棄出圖","Abandon artwork","作品を放棄","작품 포기","ละทิ้งผลงาน","Bỏ qua tác phẩm"
"MachiRoom/Rethink",,"重新思考","重新思考","Rethink","もう一度考える","다시 생각하기","คิดใหม่","Suy nghĩ lại"
"MachiRoom/DrawThis",,"就画这张！","就畫這張！","Draw this one!","これを描く！","이걸 그리기!","วาดภาพนี้!","Vẽ bức này!"
"MachiRoom/InspirationBurst",,"灵感大爆发！","靈感大爆發！","Burst of inspiration!","インスピレーション大爆発！","영감 대폭발!","แรงบันดาลใจระเบิด!","Bùng nổ cảm hứng!"
"MachiRoom/DraftProgress",,"画稿进度","畫稿進度","Draft progress","下絵の進捗","밑그림 진행도","ความคืบหน้าภาพร่าง","Tiến độ bản vẽ"
"MachiRoom/UrgeDraft",,"催稿","催稿","Rush the draft","原稿を急かす","원고 재촉","เร่งงานวาด","Thúc giục hoàn thành bản vẽ"
"MachiRoom/Score",,"评分：{Score}","評分：{Score}","Score: {Score}","評価：{Score}","점수: {Score}","คะแนน: {Score}","Điểm: {Score}"
"MachiRoom/ActionPointCost",,"消耗{Count}行动力","消耗{Count}行動力","Consumes {Count} action points","行動力を{Count}消費","행동력 {Count} 소모","ใช้แต้มการกระทำ {Count}","Tiêu hao {Count} điểm hành động"
"MachiRoom/MachiNotInStudio",,"“马吉不在工作室，创作已暂停”","「馬吉不在工作室，創作已暫停」","“Machi is not in the studio. Creation is paused.”","「マチがアトリエにいないため、創作を一時停止しています。」","“마치가 작업실에 없어 창작이 일시 중지되었습니다.”","“มาจิไม่อยู่ในสตูดิโอ การสร้างสรรค์หยุดชั่วคราว”","“Machi không ở trong studio, việc sáng tác đã tạm dừng”"
"MachiRoom/NoReward",,"画作质量不佳，无收获","畫作品質不佳，沒有收穫","The artwork quality is poor. No reward.","作品の品質が低いため、報酬はありません。","작품 품질이 좋지 않아 보상이 없습니다.","คุณภาพผลงานไม่ดี จึงไม่ได้รับรางวัล","Chất lượng tác phẩm kém, không nhận được phần thưởng."
"MachiRoom/SpecialDraft",,"特殊稿件","特殊稿件","Special Draft","特殊な原稿","특수 원고","ต้นฉบับพิเศษ","Bản thảo đặc biệt"
"MachiRoom/SpecialDraftCreating",,"女主正在创作特殊稿件~","女主正在創作特殊稿件~","The heroine is creating a special draft~","ヒロインが特殊な原稿を制作中~","여주인공이 특수 원고를 창작 중입니다~","นางเอกกำลังสร้างสรรค์ต้นฉบับพิเศษ~","Nữ chính đang sáng tác bản thảo đặc biệt~"
"MachiRoom/Completed",,"（已完成）","（已完成）","(Completed)","（完了）","(완료됨)","(เสร็จสมบูรณ์)","(Đã hoàn thành)"
"MachiRoom/PaintComplete",,"作画完成","作畫完成","Artwork completed","作画完了","작화 완료","วาดภาพเสร็จสมบูรณ์","Hoàn thành tranh vẽ"
"MachiRoom/FinishDraft",,"完成画稿","完成畫稿","Finish artwork","原稿を完成","원고 완성","ทำภาพร่างให้เสร็จ","Hoàn tất bản vẽ"
"MachiRoom/ActionPointNotEnough",,"行动力不足！","行動力不足！","Not enough action points!","行動力が足りません！","행동력이 부족합니다!","แต้มการกระทำไม่พอ!","Không đủ điểm hành động!"
"MachiRoom/PoorArtwork",,"画作质量不佳，变成废稿了...","畫作品質不佳，變成廢稿了...","The artwork quality is poor, so it became a rejected draft...","作品の品質が低く、没原稿になってしまった……","작품의 품질이 좋지 않아 폐기 원고가 되었습니다...","คุณภาพผลงานไม่ดี จึงกลายเป็นภาพร่างที่ถูกทิ้ง...","Chất lượng tác phẩm quá kém, nên đã trở thành bản thảo bỏ đi..."
"MachiRoom/DraftStored",,"稿件已放入画稿库","稿件已放入畫稿庫","The draft has been placed in the draft library","原稿を原稿ライブラリに入れました","원고를 원고 보관함에 넣었습니다","นำต้นฉบับไปเก็บไว้ในคลังภาพร่างแล้ว","Bản thảo đã được đưa vào thư viện bản vẽ"
"MachiRoom/ReturnToTitle",,"返回标题","返回標題","Return to title","タイトルに戻る","타이틀로 돌아가기","กลับไปหน้าชื่อเรื่อง","Quay lại tiêu đề"
"MachiRoom/PressureFull",,"马吉压力已满！","馬吉壓力已滿！","Machi is fully stressed!","マチのプレッシャーが限界です！","마치의 압박도가 가득 찼습니다!","ความกดดันของมาจิเต็มแล้ว!","Áp lực của Machi đã đầy!"
"MachiRoom/RushCallLine1",,"我知道了。","我知道了。","Alright, I got it.","わかったよ。","알았어.","รู้แล้วน่า","Tôi biết rồi."
"MachiRoom/RushCallLine2",,"好的啦～","好的啦～","Okay, okay~","はいはい～","알았다니까~","ได้ๆ~","Được rồi mà~"
"MachiRoom/RushCallLine3",,"真讨厌！","真討厭！","You're such a pain!","もう、うるさいなあ！","진짜 짜증나!","น่ารำคาญจริงๆ!","Phiền quá đi mất!"
