Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
"ClawMachineDoll","6954555212300288","娃娃机娃娃","娃娃機娃娃","claw machine plush toy","クレーンゲームのぬいぐるみ","인형뽑기 인형","ตุ๊กตาจากตู้คีบตุ๊กตา","thú bông trong máy gắp thú"
"Material","7585336287813632","材料","材料","Materials","材料","재료","วัสดุ","Vật liệu"
"Consumables","7585363198468096","道具","道具","props","小道具","소품","อุปกรณ์ประกอบฉาก","đạo cụ"
"Runtime","8069620681400320","自定义","自訂","Custom","カスタム","사용자 지정","กำหนดเอง","Tùy chỉnh"
"Fen","9063641269899264","粉丝数","粉絲數","Number of followers","フォロワー数","팔로워 수","จำนวนผู้ติดตาม","Số người theo dõi"
"PostingUpdates","9107887423197184","发布动态","發布動態","Post an update","近況を投稿","소식 올리기","โพสต์อัปเดต","Đăng cập nhật"
"PrivateMessage","9513326803652608","粉丝互动","粉絲互動","Fan interaction","ファン交流","팬 소통","การโต้ตอบกับแฟน ๆ","Tương tác với người hâm mộ"
"Coin","9777518970376192","金币","金幣","Coin","金貨","금화","เหรียญทอง","Đồng vàng"
"Clothing","9880571484540928","服装准备","服裝準備","Clothing preparation","衣装の準備","의상 준비","การเตรียมเสื้อผ้า","Chuẩn bị trang phục"
"ExhibitionPromotion","10126628747448320","展会曝光","展會曝光","Exhibition exposure","展示会での露出","전시회 노출","การเปิดเผยในงานแสดงสินค้า","Sự xuất hiện tại triển lãm"
"Morning","10213079363325952","早上","早上","morning","朝","아침","ตอนเช้า","buổi sáng"
"Noon","10213104856305664","中午","中午","noon","正午","정오","เที่ยงวัน","buổi trưa"
"Evening","10213133406932992","傍晚","傍晚","evening","夕方","저녁 무렵","ยามเย็น","chiều tối"
"Midnight","10213163404595200","半夜","半夜","midnight","真夜中","한밤중","กลางดึก","nửa đêm"
"ExposureValue","10215888431321088","曝光","曝光","Exposure","露出","노출","การเปิดเผย","Phơi sáng"
"BagOne","10938389851508736","袋子01","袋子01","Bag 01","袋01","가방 01","ถุง 01","Túi 01"
"BagTwo","10938438937448448","袋子02","袋子02","Bag 02","バッグ02","가방 02","ถุง 02","Túi 02"
"PaperBag","11601325632753664","纸袋","紙袋","paper bag","紙袋","종이봉투","ถุงกระดาษ","túi giấy"
"PlasticBag","11601622123909120","塑料袋","塑膠袋","plastic bag","ビニール袋","비닐봉지","ถุงพลาสติก","túi nhựa"
"ShopHelp",,"商店帮忙",,,,,,
