"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"FactoryProcSettleContent",,"积分分数：<color=#E8C84A>{Score}</color>
制作成功：<color=#5FD37F>{Success}</color>　失败：<color=#FF5C5C>{Fail}</color>
完成率：<color=#FFA030>{Completion}%</color>

<color=#B66BFF><size=120%>获得金币：+{Reward}</size></color>","積分分數：<color=#E8C84A>{Score}</color>
製作成功：<color=#5FD37F>{Success}</color>　失敗：<color=#FF5C5C>{Fail}</color>
完成率：<color=#FFA030>{Completion}%</color>

<color=#B66BFF><size=120%>獲得金幣：+{Reward}</size></color>","Score: <color=#E8C84A>{Score}</color>
Success: <color=#5FD37F>{Success}</color>  Fail: <color=#FF5C5C>{Fail}</color>
Completion: <color=#FFA030>{Completion}%</color>

<color=#B66BFF><size=120%>Coins: +{Reward}</size></color>","スコア：<color=#E8C84A>{Score}</color>
成功：<color=#5FD37F>{Success}</color>　失敗：<color=#FF5C5C>{Fail}</color>
完成率：<color=#FFA030>{Completion}%</color>

<color=#B66BFF><size=120%>獲得コイン：+{Reward}</size></color>","점수: <color=#E8C84A>{Score}</color>
성공: <color=#5FD37F>{Success}</color>　실패: <color=#FF5C5C>{Fail}</color>
완성률: <color=#FFA030>{Completion}%</color>

<color=#B66BFF><size=120%>획득 코인: +{Reward}</size></color>","คะแนน: <color=#E8C84A>{Score}</color>
สำเร็จ: <color=#5FD37F>{Success}</color>  ล้มเหลว: <color=#FF5C5C>{Fail}</color>
อัตราสำเร็จ: <color=#FFA030>{Completion}%</color>

<color=#B66BFF><size=120%>เหรียญที่ได้: +{Reward}</size></color>","Điểm: <color=#E8C84A>{Score}</color>
Thành công: <color=#5FD37F>{Success}</color>  Thất bại: <color=#FF5C5C>{Fail}</color>
Hoàn thành: <color=#FFA030>{Completion}%</color>

<color=#B66BFF><size=120%>Nhận xu: +{Reward}</size></color>"
"FactoryProcCraftCountLabel",,"本次加工数量","本次加工數量","Processed This Round","今回の加工数","이번 가공 수량","จำนวนที่แปรรูปครั้งนี้","Số lượng gia công lần này"
"FactoryProcUnitPiece",,"个","個",,"個","개","ชิ้น","cái"
"FactoryProcDefectRateLabel",,"残次品率","殘次品率","Defect Rate","不良品率","불량률","อัตราสินค้าเสีย","Tỷ lệ hàng lỗi"
"FactoryProcFailProductLabel",,"失败产品","失敗產品","Failed Products","失敗製品","실패 제품","สินค้าที่ล้มเหลว","Sản phẩm thất bại"
"FactoryProcDoneLabel",,"完成生产","完成生產","Completed","完成生産","완성 생산","ผลิตสำเร็จ","Sản xuất hoàn thành"
"FactoryProcPackZone",,"包装区域","包裝區域","Packing Zone","包装エリア","포장 구역","พื้นที่บรรจุ","Khu đóng gói"
"FactoryProcHowToPlayTitle",,"游戏玩法","遊戲玩法","How to Play","遊び方","게임 방법","วิธีเล่น","Cách chơi"
"FactoryProcHowToPlayDesc",,"音乐开始后，加工产品会在传送带出现，需要在加工产品经过包装区域的时候按下对应按键，否则视为本次失败。残次品需要丢掉，否则会影响机器卡住其他需要加工的产品噢。","音樂開始後，加工產品會在傳送帶出現，需要在加工產品經過包裝區域的時候按下對應按鍵，否則視為本次失敗。殘次品需要丟掉，否則會影響機器卡住其他需要加工的產品噢。","Once the music starts, processed items will appear on the conveyor belt. Press the matching button when the item passes through the packing zone, or it counts as a failure. Defective items must be discarded, or the machine will jam and block other items from being processed.","音楽が始まると、加工品がベルトコンベアに出現します。加工品が包装エリアを通過するタイミングで対応するボタンを押してください。押さないとその回は失敗になります。残次品は捨てないと、機械が詰まって他の加工品の処理に影響しますよ。","음악이 시작되면 가공품이 컨베이어 벨트에 나타납니다. 가공품이 포장 구역을 지날 때 해당 버튼을 눌러야 하며, 그렇지 않으면 이번 판은 실패로 처리됩니다. 불량품은 버려야 하며, 그렇지 않으면 기계가 걸려서 다른 가공품 처리에 영향을 줍니다.","เมื่อเพลงเริ่มเล่น สินค้าที่แปรรูปจะปรากฏบนสายพาน ต้องกดปุ่มที่ตรงกันตอนที่สินค้าผ่านพื้นที่บรรจุ ไม่เช่นนั้นจะถือว่าล้มเหลวในรอบนี้ สินค้าที่มีตำหนิต้องทิ้งไป ไม่เช่นนั้นจะทำให้เครื่องติดขัดและกระทบสินค้าอื่นที่ต้องแปรรูป","Khi nhạc bắt đầu, sản phẩm gia công sẽ xuất hiện trên băng chuyền, cần nhấn đúng nút khi sản phẩm đi qua khu đóng gói, nếu không sẽ tính là thất bại lượt này. Hàng lỗi cần phải vứt bỏ, nếu không sẽ làm kẹt máy và ảnh hưởng đến các sản phẩm khác cần gia công."
"FactoryProcInputLeftHint",,"点击鼠标<color=#D46270>左键</color>或键盘<color=#D46270>←</color>","點擊鼠標<color=#D46270>左鍵</color>或鍵盤<color=#D46270>←</color>","<color=#D46270>Left-click</color> or press <color=#D46270>←</color>","マウス<color=#D46270>左クリック</color>またはキーボード<color=#D46270>←</color>","마우스 <color=#D46270>왼쪽 클릭</color> 또는 키보드 <color=#D46270>←</color>","<color=#D46270>คลิกซ้าย</color>เมาส์หรือปุ่ม <color=#D46270>←</color>","Nhấp <color=#D46270>trái chuột</color> hoặc bấm <color=#D46270>←</color>"
"FactoryProcInputRightHint",,"点击鼠标<color=#9FD2E0>右键</color>或键盘<color=#9FD2E0>→</color>","點擊鼠標<color=#9FD2E0>右鍵</color>或鍵盤<color=#9FD2E0>→</color>","<color=#9FD2E0>Right-click</color> or press <color=#9FD2E0>→</color>","マウス<color=#9FD2E0>右クリック</color>またはキーボード<color=#9FD2E0>→</color>","마우스 <color=#9FD2E0>오른쪽 클릭</color> 또는 키보드 <color=#9FD2E0>→</color>","<color=#9FD2E0>คลิกขวา</color>เมาส์หรือปุ่ม <color=#9FD2E0>→</color>","Nhấp <color=#9FD2E0>phải chuột</color> hoặc bấm <color=#9FD2E0>→</color>"
"FactoryProcInputMiddleHint",,"点击鼠标<color=#B89139>中键</color>或键盘<color=#B89139>↑</color>","點擊鼠標<color=#B89139>中鍵</color>或鍵盤<color=#B89139>↑</color>","<color=#B89139>Middle-click</color> or press <color=#B89139>↑</color>","マウス<color=#B89139>中クリック</color>またはキーボード<color=#B89139>↑</color>","마우스 <color=#B89139>중간 클릭</color> 또는 키보드 <color=#B89139>↑</color>","<color=#B89139>คลิกกลาง</color>เมาส์หรือปุ่ม <color=#B89139>↑</color>","Nhấp <color=#B89139>giữa chuột</color> hoặc bấm <color=#B89139>↑</color>"
"FactoryProcExit",,"退出","退出","Exit","終了","종료","ออก","Thoát"
"FactoryProcLeft",,"左","左","Left","左","좌","ซ้าย","Trái"
"FactoryProcRight",,"右","右","Right","右","우","ขวา","Phải"
"FactoryProcMiddle",,"中","中","Middle","中","중","กลาง","Giữa"
"FactoryProcEndRound",,"退出","退出","Exit","終了","종료","ออก","Thoát"
"FactoryProcDefective",,"残次品","殘次品","Defective","不良品","불량품","สินค้าเสีย","Hàng lỗi"
